## FlyBase D. melanogaster-Human Orthologs and associated diseases report
## Generated: Sun Mar 30 12:43:55 2025
## Using datasource: dbi:Pg:dbname=fb_2025_02_reporting;host=flysql25;port=5432...

##Dmel_gene_ID	Dmel_gene_symbol	Human_gene_HGNC_ID	Human_gene_OMIM_ID	Human_gene_symbol	DIOPT_score	OMIM_Phenotype_IDs	OMIM_Phenotype_IDs[name]
FBgn0000137	ase	HGNC:33169	MIM:620809	ASCL5	3		
FBgn0023536	CG3156	HGNC:41	MIM:605454	ABCB10	14		
FBgn0023536	CG3156	HGNC:49	MIM:605464	ABCB8	6		
FBgn0023536	CG3156	HGNC:50	MIM:605453	ABCB9	5		
FBgn0023536	CG3156	HGNC:43	MIM:170260	TAP1	4	604571	604571[MHC CLASS I DEFICIENCY 1; MHC1D1]
FBgn0023536	CG3156	HGNC:44	MIM:170261	TAP2	3	620813	620813[MHC CLASS I DEFICIENCY 2; MHC1D2]
FBgn0023535	Arg	HGNC:664	MIM:107830	ARG2	14		
FBgn0023535	Arg	HGNC:663	MIM:608313	ARG1	13	207800	207800[ARGININEMIA]
FBgn0023537	CG17896	HGNC:7179	MIM:603178	ALDH6A1	14	614105	614105[METHYLMALONATE SEMIALDEHYDE DEHYDROGENASE DEFICIENCY; MMSDHD]
FBgn0010019	Cyp4g1	HGNC:23198	MIM:608614	CYP4V2	6	210370	210370[BIETTI CRYSTALLINE CORNEORETINAL DYSTROPHY; BCD]
FBgn0010019	Cyp4g1	HGNC:13265	MIM:611517	CYP4F11	4		
FBgn0010019	Cyp4g1	HGNC:26820	MIM:611495	CYP4F22	4	604777	604777[ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 5; ARCI5]
FBgn0010019	Cyp4g1	HGNC:2645	MIM:604426	CYP4F2	4		
FBgn0010019	Cyp4g1	HGNC:2646	MIM:601270	CYP4F3	4		
FBgn0010019	Cyp4g1	HGNC:20244	MIM:614999	CYP4X1	4		
FBgn0010019	Cyp4g1	HGNC:2642	MIM:601310	CYP4A11	4		
FBgn0010019	Cyp4g1	HGNC:18857	MIM:611485	CYP4F12	4		
FBgn0010019	Cyp4g1	HGNC:20575	MIM:615341	CYP4A22	3		
FBgn0010019	Cyp4g1	HGNC:2644	MIM:124075	CYP4B1	4		
FBgn0010019	Cyp4g1	HGNC:2648	MIM:611545	CYP4F8	4		
FBgn0010019	Cyp4g1	HGNC:20583	MIM:618953	CYP4Z1	3		
FBgn0010019	Cyp4g1	HGNC:24426	MIM:618954	CYP4Z2P	3		
FBgn0011822	Pgcl	HGNC:2530	MIM:116890	CTSE	9		
FBgn0011822	Pgcl	HGNC:8887	MIM:169730	PGA5	9		
FBgn0011822	Pgcl	HGNC:8886	MIM:169720	PGA4	9		
FBgn0011822	Pgcl	HGNC:8885	MIM:169710	PGA3	9		
FBgn0011822	Pgcl	HGNC:9958	MIM:179820	REN	6	267430,613092	267430[RENAL TUBULAR DYSGENESIS; RTD],613092[TUBULOINTERSTITIAL KIDNEY DISEASE, AUTOSOMAL DOMINANT 4; ADTKD4]
FBgn0011822	Pgcl	HGNC:8890	MIM:169740	PGC	8		
FBgn0011822	Pgcl	HGNC:13395	MIM:605631	NAPSA	6		
FBgn0011822	Pgcl	HGNC:2529	MIM:116840	CTSD	6	610127	610127[CEROID LIPOFUSCINOSIS, NEURONAL, 10; CLN10]
FBgn0040370	CG13375	HGNC:18229	MIM:612842	RASD2	3		
FBgn0040370	CG13375	HGNC:15828	MIM:605550	RASD1	3		
FBgn0040373	CG3038	HGNC:918	MIM:603094	B3GALNT1	6	111400,615021	111400[BLOOD GROUP, P1PK SYSTEM],615021[BLOOD GROUP, GLOBOSIDE SYSTEM; GLOB]
FBgn0040373	CG3038	HGNC:916	MIM:603093	B3GALT1	6		
FBgn0040373	CG3038	HGNC:15684	MIM:615333	B3GNT5	4		
FBgn0040373	CG3038	HGNC:917	MIM:603018	B3GALT2	6		
FBgn0040373	CG3038	HGNC:920	MIM:604066	B3GALT5	5		
FBgn0040373	CG3038	HGNC:919	MIM:603095	B3GALT4	4		
FBgn0040373	CG3038	HGNC:15629	MIM:605581	B3GNT2	4		
FBgn0040373	CG3038	HGNC:15683	MIM:605864	B3GNT4	4		
FBgn0040373	CG3038	HGNC:28714		B3GNT9	4		
FBgn0040373	CG3038	HGNC:18811	MIM:615313	B3GNT7	4		
FBgn0040373	CG3038	HGNC:24141	MIM:615315	B3GNT6	5		
FBgn0040373	CG3038	HGNC:24139	MIM:615357	B3GNT8	4		
FBgn0040373	CG3038	HGNC:13528	MIM:605863	B3GNT3	4		
FBgn0000108	Appl	HGNC:598	MIM:104776	APLP2	13		
FBgn0000108	Appl	HGNC:620	MIM:104760	APP	12	104300,605714	104300[ALZHEIMER DISEASE, FAMILIAL, 1; AD1],605714[CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED]
FBgn0000108	Appl	HGNC:597	MIM:104775	APLP1	11		
FBgn0025640	CG13369	HGNC:30325	MIM:611132	RBKS	14		
FBgn0025635	Hinfp	HGNC:17850	MIM:607099	HINFP	13		
FBgn0001341	Mybbp1A	HGNC:7546	MIM:604885	MYBBP1A	4		
FBgn0003575	su(sable)	HGNC:17808	MIM:619498	ZC3H4	4		
FBgn0003575	su(sable)	HGNC:30941		ZC3H8	3		
FBgn0003575	su(sable)	HGNC:24762		ZC3H6	4		
FBgn0025634	CG13367	HGNC:29941	MIM:614518	GATAD1	10	614672	614672[CARDIOMYOPATHY, DILATED, 2B; CMD2B]
FBgn0025638	Roc1a	HGNC:9928	MIM:603814	RBX1	14		
FBgn0025638	Roc1a	HGNC:10070	MIM:603863	RNF7	4		
FBgn0040383	CG5254	HGNC:14411	MIM:607571	SLC25A21	14	618811	618811[MITOCHONDRIAL DNA DEPLETION SYNDROME 18; MTDPS18]
FBgn0027343	fz3	HGNC:4047	MIM:601766	FZD9	5		
FBgn0027343	fz3	HGNC:4045	MIM:603410	FZD7	4		
FBgn0027343	fz3	HGNC:4041	MIM:606143	FZD3	4		
FBgn0027343	fz3	HGNC:4039	MIM:606147	FZD10	5		
FBgn0027343	fz3	HGNC:11119	MIM:601500	SMO	3	241800,601707,605462	241800[PALLISTER-HALL-LIKE SYNDROME; PHLS],601707[CURRY-JONES SYNDROME; CRJS],605462[BASAL CELL CARCINOMA, SUSCEPTIBILITY TO, 1; BCC1]
FBgn0027343	fz3	HGNC:4043	MIM:601723	FZD5	4	620731	620731[MICROPHTHALMIA/COLOBOMA 11; MCOPCB11]
FBgn0027343	fz3	HGNC:4042	MIM:604579	FZD4	3	133780	133780[EXUDATIVE VITREORETINOPATHY 1; EVR1]
FBgn0027343	fz3	HGNC:4040	MIM:600667	FZD2	4	164745	164745[OMODYSPLASIA 2; OMOD2]
FBgn0027343	fz3	HGNC:4044	MIM:603409	FZD6	3	161050	161050[NAIL DISORDER, NONSYNDROMIC CONGENITAL, 1; NDNC1]
FBgn0027343	fz3	HGNC:4038	MIM:603408	FZD1	4		
FBgn0027343	fz3	HGNC:4046	MIM:606146	FZD8	4		
FBgn0027343	fz3	HGNC:10776	MIM:604156	SFRP1	3		
FBgn0027343	fz3	HGNC:10777	MIM:604157	SFRP2	3		
FBgn0027343	fz3	HGNC:10779	MIM:604158	SFRP5	3		
FBgn0027343	fz3	HGNC:3959	MIM:605083	FRZB	3	165720	165720[OSTEOARTHRITIS SUSCEPTIBILITY 1; OS1]
FBgn0027343	fz3	HGNC:10778	MIM:606570	SFRP4	3	265900	265900[PYLE DISEASE; PYL]
FBgn0025621	CG16989	HGNC:24076		HEATR6	13		
FBgn0015799	Rbf	HGNC:9893	MIM:116957	RBL1	13		
FBgn0015799	Rbf	HGNC:9894	MIM:180203	RBL2	14	619690	619690[BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG]
FBgn0015799	Rbf	HGNC:9884	MIM:614041	RB1	6	109800,180200,182280,259500	109800[BLADDER CANCER],180200[RETINOBLASTOMA; RB1],182280[SMALL CELL CANCER OF THE LUNG],259500[OSTEOGENIC SARCOMA]
FBgn0015288	RpL22	HGNC:27610		RPL22L1	9		
FBgn0015288	RpL22	HGNC:10315	MIM:180474	RPL22	11		
FBgn0025639	Hmt4-20	HGNC:24283	MIM:610881	KMT5B	8	617788	617788[INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 51; MRD51]
FBgn0025639	Hmt4-20	HGNC:28405	MIM:613198	KMT5C	7		
FBgn0002579	RpL36	HGNC:13631	MIM:617893	RPL36	11		
FBgn0026879	CG13364	HGNC:26932	MIM:615808	TMA7	10		
FBgn0026879	CG13364	HGNC:0		LOC112268293	7		
FBgn0025633	spdi	HGNC:30615	MIM:608793	SPECC1	11		
FBgn0025633	spdi	HGNC:29022	MIM:614140	SPECC1L	12	145420,600251	145420[TEEBI HYPERTELORISM SYNDROME 1; TBHS1],600251[FACIAL CLEFTING, OBLIQUE, 1; OBLFC1]
FBgn0040339	MED22	HGNC:11477	MIM:185641	MED22	13		
FBgn0040340	TRAM	HGNC:16855	MIM:608485	TRAM2	12		
FBgn0040340	TRAM	HGNC:28371	MIM:617505	TRAM1L1	12		
FBgn0040340	TRAM	HGNC:20568	MIM:605190	TRAM1	13		
FBgn0040347	mus81	HGNC:29814	MIM:606591	MUS81	14		
FBgn0040337	CG3021	HGNC:25481	MIM:610230	TRMU	13	580000,613070	580000[DEAFNESS, AMINOGLYCOSIDE-INDUCED],613070[LIVER FAILURE, INFANTILE, TRANSIENT; LFIT]
FBgn0026143	Cdc45	HGNC:1739	MIM:603465	CDC45	14	617063	617063[MEIER-GORLIN SYNDROME 7; MGORS7]
FBgn0040338	TfIIA-S-2	HGNC:4647	MIM:600519	GTF2A2	8		
FBgn0040350	CG3690	HGNC:27034	MIM:611700	SVOPL	3		
FBgn0040350	CG3690	HGNC:16874	MIM:185861	SV2B	3		
FBgn0040350	CG3690	HGNC:20566	MIM:185860	SV2A	3	620772	620772[DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 113; DEE113]
FBgn0040350	CG3690	HGNC:30670	MIM:610291	SV2C	3		
FBgn0040349	CG3699	HGNC:18349	MIM:615194	DHRS2	4		
FBgn0040349	CG3699	HGNC:16985	MIM:611596	DHRS4	4		
FBgn0040349	CG3699	HGNC:19731	MIM:615196	DHRS4L2	4		
FBgn0040349	CG3699	HGNC:23238	MIM:612832	HSD17B14	8		
FBgn0040349	CG3699	HGNC:32389		BDH2	3		
FBgn0040348	CG3703	HGNC:25418	MIM:619250	RUNDC1	14		
FBgn0040346	CG3704	HGNC:17030	MIM:611479	GPN1	13		
FBgn0040345	CG3708	HGNC:7637	MIM:164060	NAP1L1	7		
FBgn0040345	CG3708	HGNC:7638	MIM:300026	NAP1L2	7		
FBgn0040345	CG3708	HGNC:7639	MIM:300117	NAP1L3	6		
FBgn0040345	CG3708	HGNC:7640	MIM:601651	NAP1L4	6		
FBgn0040345	CG3708	HGNC:19968	MIM:612203	NAP1L5	3		
FBgn0025642	CG32812	HGNC:9317	MIM:601302	PPP3R1	3		
FBgn0025642	CG32812	HGNC:16920	MIM:602293	CIB1	4	618267	618267[EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 3; EV3]
FBgn0025642	CG32812	HGNC:24927		CHP2	5		
FBgn0025642	CG32812	HGNC:33703	MIM:610646	CIB4	4		
FBgn0025642	CG32812	HGNC:9318	MIM:613821	PPP3R2	4		
FBgn0025642	CG32812	HGNC:24579	MIM:605564	CIB2	3	609439,614869	609439[DEAFNESS, AUTOSOMAL RECESSIVE 48; DFNB48],614869[USHER SYNDROME, TYPE IJ; USH1J]
FBgn0025642	CG32812	HGNC:24580	MIM:610645	CIB3	3		
FBgn0025642	CG32812	HGNC:17433	MIM:606988	CHP1	5	618438	618438[SPASTIC ATAXIA 9, AUTOSOMAL RECESSIVE; SPAX9]
FBgn0025642	CG32812	HGNC:26065	MIM:611585	TESC	4		
FBgn0024362	Naa30A	HGNC:19844	MIM:617989	NAA30	10		
FBgn0024361	Tsp2A	HGNC:23298	MIM:613140	TSPAN15	3		
FBgn0024361	Tsp2A	HGNC:13594	MIM:620446	TSPAN17	3		
FBgn0024361	Tsp2A	HGNC:23303		TSPAN14	3		
FBgn0024361	Tsp2A	HGNC:17753	MIM:613136	TSPAN5	3		
FBgn0024361	Tsp2A	HGNC:1709	MIM:143030	CD9	3		
FBgn0024361	Tsp2A	HGNC:20659	MIM:613133	TSPAN2	4		
FBgn0024361	Tsp2A	HGNC:1701	MIM:186845	CD81	4	613496	613496[IMMUNODEFICIENCY, COMMON VARIABLE, 6; CVID6]
FBgn0024364	CG11417	HGNC:15898	MIM:618765	ESF1	14		
FBgn0023169	AMPKalpha	HGNC:9377	MIM:600497	PRKAA2	12		
FBgn0023169	AMPKalpha	HGNC:9376	MIM:602739	PRKAA1	10		
FBgn0052813	CG32813	HGNC:23370		MSANTD3	3		
FBgn0024985	Rilpl	HGNC:26814	MIM:614092	RILPL1	13	619790	619790[OCULOPHARYNGODISTAL MYOPATHY 4; OPDM4]
FBgn0024985	Rilpl	HGNC:30266	MIM:607848	RILP	5		
FBgn0024985	Rilpl	HGNC:28787	MIM:614093	RILPL2	4		
FBgn0027794	Lrpprc2	HGNC:15714	MIM:607544	LRPPRC	4	220111	220111[MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 5; MC4DN5]
FBgn0024986	CG3719	HGNC:12435	MIM:187700	TXN	3		
FBgn0024986	CG3719	HGNC:17772	MIM:609063	TXN2	6	616811	616811[COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 29; COXPD29]
FBgn0024986	CG3719	HGNC:16470	MIM:617790	TXNDC2	3		
FBgn0000826	png	HGNC:7745	MIM:604043	NEK2	3	615565	615565[RETINITIS PIGMENTOSA 67; RP67]
FBgn0000826	png	HGNC:7749	MIM:604884	NEK6	3		
FBgn0000826	png	HGNC:13386	MIM:606848	NEK7	3		
FBgn0024365	CG12773	HGNC:15595	MIM:611316	SLC12A8	14		
FBgn0024360	MTPAP	HGNC:25532	MIM:613669	MTPAP	14	613672	613672[SPASTIC ATAXIA 4, AUTOSOMAL RECESSIVE; SPAX4]
FBgn0024360	MTPAP	HGNC:26184	MIM:610641	TUT1	3		
FBgn0025641	DAAM	HGNC:18143	MIM:606627	DAAM2	10	619263	619263[NEPHROTIC SYNDROME, TYPE 24; NPHS24]
FBgn0025641	DAAM	HGNC:18142	MIM:606626	DAAM1	14		
FBgn0025641	DAAM	HGNC:23791	MIM:610982	INF2	3	613237,614455	613237[FOCAL SEGMENTAL GLOMERULOSCLEROSIS 5; FSGS5],614455[CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE E; CMTDIE]
FBgn0025641	DAAM	HGNC:1212	MIM:604656	FMNL1	4		
FBgn0025641	DAAM	HGNC:2876	MIM:602121	DIAPH1	3	124900,616632	124900[DEAFNESS, AUTOSOMAL DOMINANT 1, WITH OR WITHOUT THROMBOCYTOPENIA; DFNA1],616632[SEIZURES, CORTICAL BLINDNESS, AND MICROCEPHALY SYNDROME; SCBMS]
FBgn0025641	DAAM	HGNC:2877	MIM:300108	DIAPH2	3	300511	300511[PREMATURE OVARIAN FAILURE 2A; POF2A]
FBgn0025641	DAAM	HGNC:15480	MIM:614567	DIAPH3	3	609129	609129[AUDITORY NEUROPATHY, AUTOSOMAL DOMINANT 1; AUNA1]
FBgn0025641	DAAM	HGNC:23698	MIM:616288	FMNL3	3		
FBgn0025641	DAAM	HGNC:18267	MIM:616285	FMNL2	3		
FBgn0025641	DAAM	HGNC:18464	MIM:610639	GRID2IP	3		
FBgn0025641	DAAM	HGNC:29363	MIM:620268	FHDC1	3		
FBgn0028550	Atf3	HGNC:3796	MIM:164810	FOS	3		
FBgn0028550	Atf3	HGNC:3798	MIM:601575	FOSL2	3	620789	620789[APLASIA CUTIS-ENAMEL DYSPLASIA SYNDROME; ACED]
FBgn0028550	Atf3	HGNC:13718	MIM:136515	FOSL1	3		
FBgn0028550	Atf3	HGNC:785	MIM:603148	ATF3	6		
FBgn0028550	Atf3	HGNC:3797	MIM:164772	FOSB	3		
FBgn0028550	Atf3	HGNC:958	MIM:612476	BATF	4		
FBgn0028550	Atf3	HGNC:28915	MIM:612470	BATF3	4		
FBgn0028550	Atf3	HGNC:25163	MIM:614983	BATF2	4		
FBgn0028550	Atf3	HGNC:17546	MIM:608657	JDP2	6		
FBgn0026876	CG11403	HGNC:3434	MIM:126340	ERCC2	3	278730,601675,610756	278730[XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D; XPD],601675[TRICHOTHIODYSTROPHY 1, PHOTOSENSITIVE; TTD1],610756[CEREBROOCULOFACIOSKELETAL SYNDROME 2; COFS2]
FBgn0026876	CG11403	HGNC:2736	MIM:601150	DDX11	14	613398	613398[WARSAW BREAKAGE SYNDROME; WABS]
FBgn0026876	CG11403	HGNC:15888	MIM:608833	RTEL1	3	615190,616373	615190[DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 5; DKCB5],616373[PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE SYNDROME, TELOMERE-RELATED, 3; PFBMFT3]
FBgn0026876	CG11403	HGNC:20473	MIM:605882	BRIP1	3	114480,609054	114480[BREAST CANCER],609054[FANCONI ANEMIA, COMPLEMENTATION GROUP J; FANCJ]
FBgn0026876	CG11403	HGNC:2737	MIM:601151	DDX12P	9		
FBgn0026876	CG11403	HGNC:37101		DDX11L8	9		
FBgn0040368	eIF4E7	HGNC:3293	MIM:605895	EIF4E2	5		
FBgn0040368	eIF4E7	HGNC:3287	MIM:133440	EIF4E	12	615091	615091[AUTISM, SUSCEPTIBILITY TO, 19; AUTS19]
FBgn0040368	eIF4E7	HGNC:33179		EIF4E1B	11		
FBgn0040368	eIF4E7	HGNC:31837	MIM:609896	EIF4E3	4		
FBgn0026872	CG14777	HGNC:26827	MIM:618100	MPV17L	7		
FBgn0029580	CG14778	HGNC:26827	MIM:618100	MPV17L	7		
FBgn0025383	CG14780	HGNC:9486	MIM:613578	PRSS3	3		
FBgn0025383	CG14780	HGNC:9475	MIM:276000	PRSS1	3	167800	167800[PANCREATITIS, HEREDITARY; PCTT]
FBgn0025381	rush	HGNC:20757	MIM:615208	PLEKHF2	14		
FBgn0025381	rush	HGNC:20764	MIM:615200	PLEKHF1	8		
FBgn0025394	inc	HGNC:21423	MIM:611285	KCTD5	13		
FBgn0025394	inc	HGNC:25705	MIM:616386	KCTD17	11	616398	616398[DYSTONIA 26, MYOCLONIC; DYT26]
FBgn0025394	inc	HGNC:21294	MIM:613422	KCTD2	13		
FBgn0000482	dor	HGNC:15972	MIM:608551	VPS18	14		
FBgn0024897	b6	HGNC:7953	MIM:600750	NPTX2	4		
FBgn0025391	Scgdelta	HGNC:10807	MIM:601411	SGCD	13	601287,606685	601287[MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 6; LGMDR6],606685[CARDIOMYOPATHY, DILATED, 1L; CMD1L]
FBgn0025391	Scgdelta	HGNC:10809	MIM:608896	SGCG	11	253700	253700[MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 5; LGMDR5]
FBgn0025391	Scgdelta	HGNC:14075	MIM:608113	SGCZ	12		
FBgn0023530	CG3740	HGNC:25443	MIM:614297	C19orf12	13	614298,615043	614298[NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 4; NBIA4],615043[SPASTIC PARAPLEGIA 43, AUTOSOMAL RECESSIVE; SPG43]
FBgn0003517	sta	HGNC:6502	MIM:150370	RPSA	13	271400	271400[ASPLENIA, ISOLATED CONGENITAL; ICAS]
FBgn0025382	Rab27	HGNC:9766	MIM:603868	RAB27A	13	607624	607624[GRISCELLI SYNDROME, TYPE 2; GS2]
FBgn0025382	Rab27	HGNC:9767	MIM:603869	RAB27B	11		
FBgn0052808	CG32808	HGNC:6362	MIM:606135	KLK14	4		
