Geneid,Control_1,Control_2,Control_3,Ab42_1,Ab42_2,Ab42_3
FBgn0027607,3915,3184,3334,3658,3840,3798
FBgn0035065,1339,1072,987,1088,1346,1163
FBti0019928,2,0,0,0,0,0
FBti0061255,0,0,0,0,0,0
FBgn0034602,905,485,669,617,540,790
FBgn0265632,0,0,2,0,1,1
FBti0062375,11,3,9,9,11,5
FBti0060975,21,12,10,20,20,21
FBti0061242,0,0,0,0,0,0
FBgn0050151,398,262,449,623,597,626
FBgn0003062,6041,5670,5428,4293,4056,3905
FBti0060080,2,2,0,0,1,0
FBgn0263593,7581,5249,7502,9342,10106,10874
FBtr0304181_df_nrg,0,0,0,0,0,0
FBgn0263629,0,0,0,0,0,0
FBgn0287214,2,1,1,0,0,3
FBgn0263077,6469,4775,5120,6214,6275,6038
FBti0063181,1,0,1,0,2,2
FBgn0265635,19,24,42,33,36,30
FBti0061106,0,0,0,1,1,2
FBti0062363,0,0,0,0,0,0
FBgn0050354,31,12,27,87,47,114
FBgn0033698,3580,2520,2299,2505,2613,3092
FBgn0033136,0,0,0,0,0,0
FBgn0034110,2453,1763,1823,2038,2615,2133
FBgn0050394,1459,921,1071,1095,1337,1248
FBgn0033982,269,224,305,331,289,369
FBgn0043470,2616,2184,2492,1773,1211,2049
FBgn0266809,0,0,1,7,3,3
FBgn0026754,21,16,16,8,16,27
FBgn0265541,74,8,11,185,107,229
FBgn0034717,2847,1910,2756,3510,3989,3859
FBti0059684,5,4,3,8,7,13
FBgn0085265,167,137,177,126,121,143
FBti0063229,3,8,5,4,20,18
RR48321_transposable_element,0,0,0,0,0,1
FBgn0050169,2202,1908,1854,2018,3298,1980
FBti0064269,7,6,5,1,6,4
FBti0018902,19,7,13,14,14,21
FBti0063214,14,15,28,14,20,12
FBgn0265984,0,0,0,0,3,3
FBti0061743,0,0,0,0,0,0
FBgn0034590,2163,1721,1763,1921,2570,1607
FBgn0025832,1943,1747,1339,1511,2395,1768
FBti0063007,13,10,14,16,30,33
FBgn0034835,97,0,0,459,153,361
FBgn0033061,33,21,25,60,33,64
FBtr0309662_df_nrg,0,0,0,0,0,0
FBti0018871,21,4,1,0,2,0
FBgn0265637,13,6,7,3,6,5
FBgn0053379,0,0,0,0,0,0
FBgn0286070,4343,3380,3116,3605,4671,3424
FBgn0265497,42,17,32,33,24,31
FBgn0033919,1639,1542,2263,3169,2761,2540
FBgn0033395,981,660,1210,1436,1491,1759
FBgn0033058,11,17,9,42,18,25
FBgn0263849,0,0,0,0,0,0
FBti0061837,1,1,3,2,6,2
FBgn0034963,808,721,656,630,970,720
FBgn0033347,54,40,56,41,38,55
FBgn0033236,5718,4692,4528,4364,6739,4347
FBgn0000996,7190,7911,5769,6654,11812,6120
FBgn0011880,0,0,0,0,1,0
FBgn0033995,1544,1294,1322,1131,1750,1310
FBgn0050229,1,0,2,2,0,4
FBti0061844,2,0,1,3,3,0
FBgn0050098,71,12,29,111,71,91
FBti0060029,0,0,0,1,0,4
FBgn0265444,0,0,0,24,19,11
FBgn0284252,8230,6510,7522,8674,9821,8510
FBgn0028408,10403,7948,6755,6133,9959,6968
FBgn0034705,528,425,437,430,655,472
FBgn0034198,1538,1126,1600,1172,1524,2050
FBgn0034308,3490,2765,2513,2661,3579,2701
FBgn0034766,12,23,21,25,31,25
FBti0061159,71,44,85,50,73,78
FBgn0033467,399,268,327,240,374,326
FBti0061184,0,0,2,0,0,0
FBti0061295,0,0,0,0,3,0
FBgn0085231,0,0,0,0,0,0
FBgn0016697,6074,5457,5195,4220,6252,5575
FBti0060058,0,0,0,2,3,0
FBgn0016059,8775,6081,6027,6924,9785,7099
FBti0018892,0,0,0,0,0,0
FBti0062587,0,0,0,0,0,0
FBgn0033984,2883,2031,2177,2505,3517,2571
FBgn0263341,0,1,0,1,1,5
FBti0064119,0,0,0,0,0,0
FBgn0020377,6,0,0,9,0,9
FBgn0033449,653,694,582,637,1011,609
FBgn0050381,397,394,357,327,463,373
FBgn0035043,938,1013,1227,1161,879,1051
FBti0059976,0,0,0,0,0,0
FBgn0034867,17,1,1,20,7,42
FBgn0034605,1424,589,1461,1655,1586,1645
FBti0062307,0,0,2,0,0,3
FBgn0003175,4171,3288,3430,3869,4518,3378
FBgn0021825,2542,2316,1990,1860,2256,2193
FBgn0033130,583,476,757,1351,1083,1192
FBgn0286728,0,0,1,1,0,0
FBgn0034094,282,216,373,650,402,475
FBgn0033371,67,11,5,495,192,386
FBgn0265605,3146,2720,2730,2614,4083,3051
FBgn0034523,166,145,132,172,170,167
FBgn0265845,2,1,2,2,4,2
FBgn0042135,9927,6832,8965,10718,11777,9865
FBti0018932,0,0,0,0,0,0
FBgn0263970,2,0,4,2,0,0
FBgn0262966,31,0,1,131,36,115
FBgn0053415,0,0,0,0,0,0
FBti0063242,3,1,6,3,2,5
FBgn0263472,3,3,1,2,0,0
FBgn0263290,1,0,0,3,5,9
FBgn0034723,1991,1500,2161,2697,2199,2674
FBti0061264,1,0,3,1,1,0
FBgn0034076,83,100,105,110,270,158
FBgn0034397,19,28,25,22,25,20
FBgn0082970,0,0,0,0,0,0
FBgn0050200,0,0,0,0,0,0
FBgn0265661,6,11,5,7,2,8
FBgn0034360,257,273,238,257,376,270
FBgn0053380,0,0,0,0,0,0
FBgn0033685,53,33,24,32,35,19
FBgn0033259,2487,1956,1977,2485,2490,2542
FBti0064149,0,0,0,0,0,1
FBti0060493,0,0,0,0,0,0
FBti0063129,0,0,0,0,0,0
FBti0060583,0,0,0,0,0,0
FBgn0050296,679,598,945,1335,1221,1274
FBgn0050410,4735,3604,4576,3496,4466,4231
FBti0064278,5,4,0,12,12,9
FBgn0264961,4,19,46,18,18,18
FBgn0029507,1909,1554,2386,3683,2703,2947
FBgn0034861,215,104,115,79,62,120
FBgn0027783,4041,3289,2906,3447,5694,3422
FBgn0262211,0,0,0,0,0,0
FBgn0261990,903,773,1052,1203,966,1269
FBgn0033978,1877,1232,1779,5057,5143,6561
FBti0062537,0,0,0,0,0,0
FBgn0050295,1209,955,908,996,1298,985
FBgn0262479,10,0,1,60,20,69
FBgn0085261,379,514,496,452,520,468
FBti0061612,0,0,0,0,0,0
FBti0019890,0,0,0,0,0,0
FBgn0033266,1896,1497,1483,1488,2080,1466
FBgn0053147,242,204,413,409,312,442
FBgn0050145,2,3,4,1,0,4
FBtr0304467_df_nrg,0,0,0,0,0,0
FBgn0033292,131,230,200,209,134,263
FBgn0003863,78607,76078,71246,54873,55664,69222
FBgn0083123,656,396,710,358,458,418
FBgn0285943,74,0,1,1012,324,832
FBgn0050231,0,0,0,0,0,0
FBti0064268,0,0,0,0,0,0
FBgn0034224,3,3,0,2,6,6
FBgn0033215,273,125,599,284,129,177
FBgn0034793,1916,1945,1484,1271,1633,1749
FBti0063123,9,5,8,3,15,4
FBgn0000715,160,85,149,239,216,272
FBgn0266420,3514,3824,2665,3081,4965,2930
FBgn0045800,2945,2254,2504,875,1350,1280
FBgn0034885,4692,4117,5091,4228,3172,4534
FBgn0266525,0,0,0,0,0,0
FBgn0034217,413,298,282,273,501,307
FBgn0028562,185,132,235,243,196,248
FBgn0023171,1518,1234,1339,1374,1629,1330
FBgn0259978,7607,7178,7092,7678,11940,7601
FBgn0046692,3913,3559,4246,2551,4937,3512
FBgn0033688,12417,9306,9120,9190,11849,9465
FBgn0043576,23,148,20,17,5,17
FBgn0033755,3425,2115,2416,2511,3184,2881
FBgn0034292,5637,2594,3671,1544,1299,1875
FBgn0262948,20,1,3,35,12,33
FBgn0034720,703,592,858,855,677,879
FBti0061139,5,3,9,4,5,0
FBgn0265862,17,20,34,75,75,62
FBti0062473,0,0,0,0,0,0
FBgn0265059,30,32,38,20,44,61
FBgn0035089,291,335,302,681,454,329
FBgn0259832,293,231,234,216,256,256
FBgn0001319,57,41,78,91,79,63
FBgn0034622,14,15,25,22,17,20
FBgn0050486,2,0,5,3,5,3
FBgn0022343,5898,5945,4306,4216,5534,4336
FBgn0033453,1672,1704,1774,1575,2687,1625
FBgn0265187,65,34,42,276,96,263
FBgn0085468,152,120,138,183,151,210
FBgn0034871,6227,6514,7679,9088,7648,8364
FBti0061761,0,0,0,0,0,0
FBti0060972,5,4,4,1,3,10
FBti0061437,46,17,38,19,36,32
FBti0060795,0,0,2,3,2,0
FBti0060919,0,0,0,0,0,1
FBti0062360,1,0,0,1,0,1
FBti0061665,0,0,0,0,0,0
FBgn0260007,15,1,0,45,21,46
FBgn0001147,3,0,2,28,14,20
FBti0060571,1,2,0,0,0,0
FBti0061225,4,1,2,1,1,4
FBgn0260761,0,0,0,0,1,0
FBgn0033699,51304,49356,45266,35778,46762,44222
FBgn0029147,788,691,1016,788,770,1009
FBti0060291,0,0,0,0,0,0
FBti0061243,1,0,1,1,1,3
FBgn0261564,3985,3534,3708,4253,4988,4160
FBgn0027835,29408,21653,25585,23757,24134,26043
FBgn0034113,1245,836,860,974,1349,1165
FBti0061316,1,0,5,1,0,3
FBgn0265961,5,2,8,15,11,20
FBgn0050357,96,62,90,190,200,200
FBgn0033074,107,3,8,496,171,444
FBgn0265443,1,0,0,9,11,17
FBti0059831,0,0,0,0,0,0
FBti0019984,0,0,0,0,0,0
FBgn0053391,0,0,0,0,0,0
FBgn0010470,4431,3587,4314,3501,3110,4430
FBgn0267744,42,28,29,20,27,28
FBti0064078,0,0,0,0,0,0
FBgn0033996,2140,1862,1819,2026,2973,2090
FBgn0050369,20,0,0,80,44,65
FBgn0053349,9,4,6,3,10,11
FBgn0034568,1,0,2,7,2,2
FBti0018950,0,0,0,0,0,0
FBgn0050350,98,0,0,540,155,374
FBgn0033029,8264,6642,7056,7033,9928,7821
FBgn0053367,0,0,0,0,0,0
FBgn0262594,2,0,0,2,0,4
FBgn0035090,2396,3030,3468,2608,2344,3051
FBti0061620,0,1,1,2,0,1
FBgn0013308,46,28,65,74,46,36
FBgn0053381,0,0,0,0,0,0
FBgn0267955,1,0,0,5,1,2
FBgn0263233,4,5,0,3,4,4
FBgn0266864,8,1,2,4,6,8
FBgn0034541,22,1,7,20,18,20
FBgn0262446,1,0,0,0,0,0
FBgn0262836,0,0,0,0,0,0
FBgn0034049,2001,1556,1676,1877,2198,1726
FBgn0262889,1,0,0,0,0,0
FBgn0265983,0,1,0,0,2,1
FBgn0003353,630,529,623,527,733,646
FBgn0033855,27,10,8,15,15,14
FBgn0022288,3662,3406,3067,2623,3451,2554
FBgn0033296,39574,17552,32922,30208,31386,36305
FBgn0033566,1218,1292,959,882,1535,990
FBgn0010114,1109,931,1524,1749,1328,1813
FBgn0033475,2257,2121,2057,1840,2970,1890
FBgn0034091,4836,3429,3999,4086,5982,4594
FBgn0022160,2942,3921,4885,3184,1871,2722
FBgn0019938,5986,4493,5179,4317,5014,4172
FBgn0050286,0,0,3,1,1,9
FBgn0034950,94,61,110,135,88,100
FBti0019954,0,0,0,0,0,0
FBgn0015903,5723,4296,4420,4578,6883,4240
FBgn0000119,1406,861,1301,1300,1275,1305
FBgn0027054,3113,2838,2421,2328,3281,2562
FBgn0033178,1221,969,861,912,1126,918
FBgn0266486,0,0,0,0,0,0
FBgn0034742,2041,1757,1947,2095,2951,2465
FBti0060912,0,0,0,0,0,0
FBti0061258,0,2,0,2,0,1
FBti0063177,2,1,5,1,1,2
FBgn0050458,0,0,0,0,0,0
FBgn0286778,26877,21292,20227,23541,30801,25225
FBti0061400,0,0,0,0,0,0
FBgn0261041,578,393,751,779,651,835
FBgn0053410,0,0,0,0,0,0
FBti0019998,0,0,0,1,0,2
FBgn0034027,414,385,407,418,489,438
FBtr0304258_df_nrg,0,0,0,0,0,0
RR48382_transposable_element,1,1,4,7,2,1
FBti0019019,1,0,3,4,1,4
FBgn0033367,1130,1162,1324,1024,900,1282
FBti0064236,0,0,1,0,0,1
FBti0062275,0,0,0,2,1,1
FBgn0034186,969,859,648,710,941,878
FBgn0050212,0,0,0,0,0,0
FBti0061636,4,1,1,1,1,1
FBgn0050364,0,0,0,0,0,0
FBgn0265576,44,1,1,196,62,199
RR48353_transposable_element,0,0,5,0,0,0
FBgn0263708,20,0,0,11,4,28
FBgn0050105,538,603,521,417,653,451
FBti0064237,0,0,0,0,0,0
FBgn0033374,4543,4097,3687,3445,6269,3134
FBgn0085638,599,518,694,459,767,601
FBgn0082969,1,0,1,0,0,0
FBgn0035044,1086,861,978,739,1061,1060
FBgn0034307,689,536,549,541,714,588
FBti0061601,0,0,0,0,0,0
FBgn0003090,111,109,139,155,122,158
FBti0061714,0,0,0,0,2,1
FBtr0304437_df_nrg,0,0,0,0,0,0
FBti0018925,0,0,0,0,0,0
FBgn0259876,4153,3563,2806,3724,5392,3508
FBti0063028,0,0,0,0,0,0
FBgn0025469,762,613,582,659,801,687
FBgn0063497,5229,2361,11578,4859,1792,4246
FBgn0033250,1899,2217,2322,4673,3577,4443
FBgn0262515,14725,11187,12917,12262,12927,11868
FBgn0034310,2400,2168,1696,1885,2713,2133
FBgn0034791,1640,1597,1309,1440,1916,1455
FBgn0266049,4,3,2,4,12,6
FBti0061715,0,0,0,0,0,0
RR48359_transposable_element,4,0,1,3,1,1
FBgn0034438,437,678,656,636,438,456
FBgn0011227,3498,2386,3072,2635,3157,3496
FBgn0034962,6074,5203,4588,4951,7565,5055
FBgn0033727,0,0,0,1,0,0
FBti0018908,6,0,3,3,4,6
FBgn0085486,49,27,3,345,154,296
FBgn0033760,682,573,897,788,324,554
FBti0063702,0,0,0,0,0,0
FBgn0003317,2963,2633,2376,2539,3776,2564
FBgn0033845,4612,4104,3163,4448,6432,3653
FBgn0034839,14,1,3,56,26,71
FBgn0004463,1775,1536,1587,1500,1869,1524
FBgn0058263,3112,2282,3022,1893,3444,2653
FBtr0304445_df_nrg,0,0,0,0,0,0
FBgn0265052,1128,690,1357,1075,1126,1355
FBgn0050091,7,22,31,511,271,371
FBgn0259678,1356,1056,1585,1661,1677,1767
FBti0060563,0,0,0,0,0,0
FBgn0035091,3004,1559,3311,4447,3486,3758
FBti0018946,2,0,1,0,0,1
FBgn0083018,0,0,1,0,0,0
FBti0061070,0,0,1,1,1,0
FBgn0050000,3094,2376,2108,1668,2295,1938
FBgn0286788,4781,4997,3787,4602,7578,4166
FBgn0033273,2718,2325,2005,1979,3287,2276
FBgn0034721,37,0,1,147,61,111
FBgn0085512,2,0,1,0,0,4
FBti0060511,3,0,1,1,0,1
FBgn0034797,2723,1909,1821,2051,1959,2446
FBgn0050489,2471,827,2612,1629,1765,2414
FBti0060267,0,0,0,0,0,0
FBti0063742,11,14,17,5,6,14
FBgn0033464,534,198,390,572,490,684
FBti0061456,0,0,0,0,0,0
FBgn0033246,23173,13644,30120,27737,30141,32170
FBti0063262,2,3,4,1,4,3
FBgn0263020,7,7,11,1,1,4
FBgn0033153,570,428,389,669,592,781
FBgn0259718,0,0,0,0,0,0
FBgn0034515,538,468,668,620,720,848
FBgn0001124,11118,8499,12578,17077,21551,18262
FBgn0263443,1,2,0,2,2,2
FBgn0266806,0,0,0,0,0,0
FBgn0033352,4294,3567,3260,3606,4859,4304
FBgn0266573,0,0,0,0,0,0
FBti0061726,1,1,2,3,2,0
FBgn0005631,424,316,568,630,446,591
FBgn0266802,18,12,12,12,25,5
FBti0060510,0,0,1,1,3,0
FBgn0024698,3140,2013,2242,1994,2940,2285
FBgn0033128,729,622,1134,1063,757,915
FBgn0262512,5635,4433,4598,4127,4716,3994
FBgn0033997,3,3,2,15,12,24
FBgn0034489,11,4,6,26,11,31
FBgn0263462,8,13,11,8,14,4
FBgn0011704,10670,12069,8123,7845,13893,8994
FBti0060070,1,0,0,1,4,1
FBgn0033051,740,567,777,584,514,471
FBgn0034856,51,48,51,71,64,89
FBgn0034282,13227,11590,11600,10729,18803,11569
FBgn0034681,4,0,0,91,25,78
FBti0019280,0,0,0,3,10,4
FBgn0034145,2974,2109,4284,5087,3631,3772
FBgn0033322,37,0,0,152,57,123
FBgn0034951,2734,2352,2508,2765,2938,2558
FBti0059781,1,1,70,2,2,8
FBgn0041236,0,0,0,0,0,0
FBgn0022764,15505,10328,10704,12270,16044,10617
FBgn0262102,89,1,0,393,140,384
FBgn0053413,0,0,0,0,0,0
FBgn0033842,896,877,642,684,983,773
FBgn0033092,1083,1068,947,743,1186,854
FBgn0267978,512,675,860,1107,790,879
FBti0064140,0,1,1,0,1,0
FBti0062574,0,0,0,0,0,0
FBgn0033554,346,338,319,262,365,255
FBti0060992,0,0,0,0,0,0
FBgn0024234,705,673,653,889,684,883
FBgn0034748,1035,996,816,808,1067,824
FBti0061182,0,0,0,0,0,0
FBti0060409,1,2,2,0,1,1
FBgn0267824,5198,4648,4200,4401,6174,4468
FBgn0262901,32,26,25,19,34,34
FBgn0250851,0,0,0,0,0,0
FBgn0033731,2,1,3,2,6,3
FBgn0265343,2,1,3,1,3,6
FBgn0266639,6,5,6,7,4,6
FBgn0035035,974,1138,756,735,1221,812
FBgn0028669,46,0,0,402,177,351
FBgn0265526,2,0,0,8,2,16
FBgn0034437,87,87,180,110,58,54
FBgn0050344,2425,1609,1824,1994,2223,2241
FBgn0034624,1,6,2,0,0,1
FBti0061349,0,0,0,0,0,0
FBti0060500,0,0,0,0,0,0
FBgn0034143,2970,1953,1417,783,754,1457
FBgn0034253,586,478,326,344,459,510
FBti0061241,1,0,1,2,3,3
FBgn0013762,1462,1459,1228,1224,1655,1287
FBti0019037,3,4,4,5,9,3
FBti0062396,0,0,0,0,1,0
FBgn0003391,5305,3665,4122,3958,4808,4080
FBgn0003520,8793,6473,6365,7576,11041,7075
FBgn0033971,1888,1372,1118,1212,1488,1527
FBti0060312,0,0,3,0,0,0
FBgn0000037,193,154,301,388,269,398
FBti0062460,1,1,2,1,3,4
FBgn0041579,1465,871,1777,23693,3731,9615
FBgn0033846,3313,2859,2505,2930,4106,2571
FBgn0034800,893,710,563,944,952,855
FBtr0309691_df_nrg,0,0,0,0,0,0
FBgn0034728,4733,3353,3298,3698,5580,4302
FBgn0264089,841,744,1138,1162,931,1118
FBgn0034118,3166,2807,2289,2401,3667,2534
FBgn0034368,4888,3539,4592,4604,5434,5040
FBti0061263,0,0,1,0,3,1
FBgn0050178,29,10,14,65,35,86
FBgn0033806,1140,900,975,975,1577,922
FBgn0261856,0,2,0,0,1,0
FBti0060603,1,0,1,0,0,2
FBgn0263864,408,277,326,463,460,435
FBgn0263655,7,3,6,3,7,3
FBti0060604,0,0,0,0,0,0
FBgn0265843,5,5,3,0,4,2
FBgn0053757,1,3,1,1,3,0
FBti0018999,11,10,9,15,12,20
FBgn0033677,1463,1419,1265,1247,2075,1458
FBgn0262403,0,0,0,0,0,0
FBgn0023172,7782,5372,5897,6930,9401,7071
FBgn0029105,193,137,236,186,210,232
FBti0061231,0,0,2,0,0,0
FBtr0309584_df_nrg,0,0,0,0,0,0
FBtr0304405_df_nrg,0,0,0,0,0,0
FBgn0026582,662,693,552,710,1034,685
FBgn0033812,2818,2463,2223,2127,2447,2183
FBti0061794,1,0,1,2,0,5
FBgn0063381,0,1,2,0,0,0
FBgn0263485,5,4,4,1,3,2
FBgn0026176,116,50,58,241,142,246
FBgn0034849,711,638,697,648,768,643
FBti0061315,0,2,0,0,1,1
FBti0060830,6,4,6,9,2,6
FBgn0265429,0,0,0,8,1,3
FBgn0050452,0,0,0,0,0,0
FBgn0266855,1,0,0,0,0,0
FBti0063064,0,0,0,0,3,0
FBgn0034753,26863,27275,17180,16626,21493,21840
FBgn0011743,45,0,0,468,124,330
FBti0018913,2,1,0,1,3,0
FBgn0033063,52,8,7,323,124,283
FBgn0034439,362,218,580,418,200,251
FBgn0034684,35,0,1,130,66,160
FBgn0002571,12301,4783,8018,7725,4547,8592
FBti0019013,0,0,0,0,0,0
FBgn0263760,0,0,0,2,0,1
FBgn0001220,15345,12860,14972,14780,14719,15507
FBgn0026427,5285,3545,4219,4458,7366,4081
FBgn0034494,3354,2265,2278,2550,3533,2594
FBti0061656,14,5,4,34,20,33
FBgn0011763,8413,6611,6258,6577,9606,6548
FBgn0053396,0,0,0,0,0,0
FBgn0028741,0,0,0,0,0,0
FBti0062401,0,0,0,2,0,0
FBti0018966,3,1,2,0,2,0
FBgn0034225,0,0,0,0,0,0
FBgn0085786,21,24,14,3,1,3
FBtr0472803_df_nrg,0,0,0,0,0,0
FBti0063126,41,29,46,48,50,37
FBgn0260763,28,8,22,21,15,17
FBgn0050192,32,0,0,165,66,143
FBgn0010501,1733,1495,1419,1123,1736,1176
FBti0064100,0,0,0,0,0,0
FBgn0259707,126,127,156,148,154,192
FBgn0033461,35,1,5,217,66,169
FBgn0033183,6551,5483,4848,4879,6738,4751
FBgn0053376,0,0,0,0,0,0
FBgn0011909,0,0,0,0,0,0
FBgn0015247,4099,3453,3033,3698,3992,3624
FBti0061262,5,1,0,2,1,0
FBti0060920,0,0,1,0,0,0
FBti0061344,10,2,5,9,4,4
RR48408_transposable_element,2,0,2,0,4,4
FBgn0065059,0,0,0,0,0,0
FBgn0011932,0,0,0,0,1,0
FBgn0003274,63151,51542,53348,40863,50893,56161
FBgn0034471,3,0,2,4,1,2
FBti0062541,0,0,0,0,0,0
FBgn0033628,11,5,9,39,18,19
FBti0061518,0,0,0,0,0,0
FBti0062471,2,7,3,1,4,11
FBgn0286931,0,0,0,1,0,0
FBti0063115,0,0,0,0,0,0
FBgn0000079,32444,21478,30862,43188,34313,41868
FBgn0265962,7,4,3,4,13,11
FBgn0034662,15412,7258,12897,11538,8747,11750
FBti0018957,1,0,0,0,0,0
FBgn0027581,158,125,205,186,324,280
FBgn0025336,2235,1942,1813,1680,2375,1865
FBgn0013764,2430,2419,1784,2057,2455,1905
FBgn0033010,3771,3136,4179,2745,4899,3873
FBgn0287618,0,0,0,2,2,8
FBgn0063494,5640,4689,5785,4636,4753,5161
FBgn0034007,28,0,0,141,44,120
FBgn0034011,3,1,2,8,4,15
FBgn0053424,0,0,0,0,0,0
FBti0059732,0,0,0,0,0,0
FBgn0085434,1513,1121,1787,1878,1619,1863
FBti0061728,2,3,3,2,0,0
FBti0064302,0,0,0,1,0,3
FBgn0265614,0,0,0,12,1,3
FBgn0034923,1245,1004,873,885,1149,1073
FBgn0050404,3276,3000,3090,2953,4361,3305
FBti0061109,0,0,0,0,0,0
FBgn0265356,898,963,1378,2458,1882,1685
FBgn0034191,833,732,797,714,1055,848
FBgn0033442,103,4,6,713,267,611
FBti0063810,0,0,0,0,0,0
FBti0063989,0,0,0,0,0,0
FBgn0086027,31,26,18,18,28,21
FBgn0050177,58,0,0,398,105,324
FBti0018997,0,0,0,0,0,0
FBgn0265935,8487,7429,6886,7084,9854,7433
FBti0059661,0,0,0,0,0,0
FBgn0034293,173,254,216,160,107,209
FBti0060619,3,4,3,6,7,13
FBti0063139,2,1,2,0,0,0
FBgn0261975,1222,768,1140,997,1085,1194
FBgn0034763,3156,2822,2167,2411,3877,2425
FBti0061505,0,0,0,0,0,0
FBti0061279,0,1,0,0,0,0
FBgn0012042,203,50,115,4754,842,2122
FBgn0034537,2380,2084,1836,1817,2712,1805
FBgn0042198,39,0,0,173,51,152
FBgn0033556,1477,1337,1329,1393,1762,1531
FBgn0053384,0,0,0,0,0,0
FBgn0011889,0,0,0,1,0,1
FBgn0053475,8,0,5,7,8,4
FBgn0027506,6381,4533,4372,4896,7733,5572
FBgn0053394,0,0,0,0,0,0
FBti0060075,1,0,1,2,8,2
FBgn0266380,0,0,0,2,5,5
FBgn0034900,0,0,0,0,0,0
FBgn0035011,0,0,0,0,0,0
FBti0061932,0,0,0,0,0,0
FBgn0085248,4,9,2,14,12,12
FBti0059768,5,0,0,3,3,5
FBti0060968,0,0,0,0,0,0
FBgn0034636,37,24,47,121,67,99
FBgn0033657,69,41,65,143,79,123
FBti0062309,0,1,0,0,3,1
FBti0019016,0,0,0,0,0,0
RR41928_transposable_element,7,3,9,4,3,3
FBgn0034196,27,0,1,188,53,125
FBgn0267659,6,1,3,5,4,4
FBgn0033093,3034,1771,3638,2623,2691,3255
FBgn0266729,0,0,0,0,0,0
FBti0062398,4,1,3,2,6,9
FBti0060872,0,1,0,0,1,0
FBgn0033096,315,144,178,70,44,128
FBti0059887,0,0,0,0,0,0
FBgn0033574,320,169,303,575,302,452
FBgn0033052,2985,2267,2669,3538,4321,3035
FBti0018969,9,3,11,20,18,29
FBgn0033460,5824,4482,4373,5563,6065,5353
FBtr0304257_df_nrg,0,0,0,0,0,0
FBgn0013467,697,530,980,733,713,1000
FBgn0033277,1,1,0,3,0,3
FBti0064257,0,0,2,3,1,1
FBgn0086350,3608,3038,2987,2251,4561,2647
FBti0063116,0,0,0,0,0,0
FBti0063025,0,0,0,0,0,0
FBti0064244,2,0,0,0,1,1
FBgn0265312,0,0,0,1,0,1
FBgn0015268,389,363,363,267,364,330
FBgn0053377,0,0,0,0,0,0
FBti0061240,6,3,9,3,1,8
FBgn0034382,2364,749,2354,1826,1634,2295
FBgn0262547,431,0,0,640,240,889
FBti0061280,1,0,1,0,0,0
FBgn0040294,2906,2303,2187,2393,3768,2097
FBtr0472822_df_nrg,0,0,0,0,0,0
FBgn0050343,42,55,62,34,91,54
FBgn0033948,824,692,632,589,847,575
FBti0064306,0,0,0,0,0,0
FBgn0061362,0,0,0,0,0,0
FBgn0053414,0,0,0,0,0,0
FBti0063787,0,0,0,0,0,0
FBti0060130,3,4,2,0,4,8
FBgn0066084,85566,85389,68055,50599,75032,65846
FBgn0053419,0,0,0,0,0,0
FBgn0261394,6540,6424,5593,5374,7339,6064
FBgn0084008,0,0,0,4,6,5
FBgn0263109,56,25,9,4,5,13
FBgn0028579,2520,2005,2022,2841,3304,2841
FBti0060854,1,1,0,0,0,2
FBgn0286920,0,0,0,0,0,0
RR41347_transposable_element,1,4,4,1,0,3
FBgn0034519,0,0,0,0,0,0
FBgn0046297,564,0,0,2761,1003,2292
FBgn0034507,4,5,6,17,9,22
FBgn0033515,3,2,1,3,6,0
FBtr0309579_df_nrg,0,0,0,0,0,0
FBgn0262583,60,2,6,93,39,172
FBti0059731,5,2,13,7,10,15
FBgn0053198,773,746,774,594,1042,790
FBgn0011931,0,0,0,0,0,1
FBgn0265914,0,0,0,3,1,1
FBti0018948,27,18,53,2,3,15
FBgn0027360,0,0,0,1,1,0
FBgn0011921,0,0,0,0,0,0
FBgn0013732,4428,3420,3059,3397,5535,3014
FBti0061823,0,0,0,0,0,0
FBgn0085237,198,191,268,212,251,298
FBgn0000253,35376,24920,34108,25052,38236,34529
FBgn0085398,1,0,0,1,1,0
FBgn0033994,984,843,772,772,1256,873
FBti0018880,13,3,11,2,1,8
FBgn0053758,0,3,1,8,1,2
FBgn0034175,61,21,28,252,131,265
FBgn0266762,0,0,0,0,1,0
FBtr0472930_df_nrg,0,0,0,0,0,0
FBti0061326,0,0,0,1,0,2
FBgn0266852,4,3,2,2,3,3
FBgn0021895,3927,2990,3113,2471,3225,3185
FBti0060261,0,0,0,0,0,0
FBgn0284245,517264,527440,442275,415074,523215,523904
FBgn0033112,9,5,9,17,11,21
FBgn0011812,1,0,1,2,0,1
FBgn0262300,0,0,0,0,0,0
FBgn0033648,0,1,1,3,4,0
FBgn0034884,5,1,10,7,1,7
FBgn0053430,0,0,0,0,0,0
RR48355_transposable_element,1,3,3,10,20,7
FBti0061253,11,3,5,3,5,9
FBgn0034827,108,0,0,968,260,775
FBgn0053393,0,0,0,0,0,0
FBgn0020506,5583,976,3989,1829,2252,3313
FBti0062320,1,5,0,1,0,6
FBti0061236,0,0,0,0,0,0
FBti0061205,0,1,1,1,2,5
FBgn0053416,0,0,0,0,0,0
FBgn0033497,0,0,0,0,0,0
FBgn0050342,1058,992,828,898,1265,940
FBgn0034485,160,142,195,204,177,191
FBgn0085252,0,0,0,0,0,0
FBti0061465,0,0,0,0,0,0
